Show	Network	Sub-channel	Episodes have	Named	Seasons
La arana Lucas	Netflix	Netflix Jr	30	0	1
Numberblocks	Netflix	Netflix Jr	47	0	1
Octonautas	Netflix	Netflix Jr	85	0	1
Patoaventuras	Disney	Disney Aventura	48	0	3
